name,id,search_pattern
Rachael Thomas,89200,rachael-thomas(89200)
Joanne Thompson,109877,joanne-thompson(109877)
Corey Tochor,84882,corey-tochor(84882)
Fraser Tolmie,110800,fraser-tolmie(110800)
Justin Trudeau,58733,justin-trudeau(58733)
Denis Trudel,88530,denis-trudel(88530)
Ryan Turnbull,105480,ryan-turnbull(105480)
Tim Uppal,30645,tim-uppal(30645)
Rechie Valdez,110538,rechie-valdez(110538)
Tony Van Bynen,105270,tony-van-bynen(105270)
Adam Van Koeverden,105242,adam-van-koeverden(105242)
Tako Van Popta,105811,tako-van-popta(105811)
Dan Vandal,89045,dan-vandal(89045)
Anita Vandenbeld,71738,anita-vandenbeld(71738)
Karen Vecchio,88742,karen-vecchio(88742)
Gary Vidal,105562,gary-vidal(105562)
Dominique Vien,110009,dominique-vien(110009)
Arnold Viersen,89211,arnold-viersen(89211)
Julie Vignola,104656,julie-vignola(104656)
Rene Villemure,110306,rene-villemure(110306)
Arif Virani,88910,arif-virani(88910)
Brad Vis,89289,brad-vis(89289)
Kevin Vuong,110654,kevin-vuong(110654)
Cathay Wagantall,89098,cathay-wagantall(89098)
Chris Warkentin,35886,chris-warkentin(35886)
Kevin Waugh,89084,kevin-waugh(89084)
Len Webber,89116,len-webber(89116)
Patrick Weiler,105918,patrick-weiler(105918)
Jonathan Wilkinson,89300,jonathan-wilkinson(89300)
Ryan Williams,110330,ryan-williams(110330)
John Williamson,71323,john-williamson(71323)
Jean Yip,98747,jean-yip(98747)
Salma Zahid,88950,salma-zahid(88950)
Bonita Zarrillo,105837,bonita-zarrillo(105837)
Bob Zimmer,72035,bob-zimmer(72035)
Sameer Zuberi,54157,sameer-zuberi(54157)
